id,platform_family,theme,duration_seconds,hook,script_text,on_screen_text,b_roll_direction,voice_direction,audio_filename,export_folder
VID-001,TikTok/Reels/Shorts,missed-calls,25,"Your after-hours calls are not neutral.","Your after-hours calls are not neutral. If they hit voicemail, the homeowner does not wait for Monday. They call the next shop that answers. ThermaForge helps HVAC owners route the call, record what happened, and review the dispatch outcome before revenue leaks quietly out of the business.","AFTER-HOURS CALLS ARE NOT NEUTRAL","Dark dispatch desk, ringing phone, call log blur, copper TF mark.","Operator/founder: calm, direct, no hype.",2026-05-08_vid-001_missed-calls_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-002,TikTok/Reels/Shorts,dispatch-leak,25,"The dispatch room protects the P&L.","The dispatch room protects the P&L. Not the dashboard. Not the monthly meeting. The handoff from call to booked job to paid invoice is where margin either stays in the company or walks out the side door. That is the leak ThermaForge looks for first.","DISPATCH PROTECTS THE P&L","Dispatch board, technician schedule, invoice stamp, copper line diagram.","Operator/founder: practical and firm.",2026-05-08_vid-002_dispatch-leak_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-003,TikTok/Reels/Shorts,first-call-recorded,25,"Onboarding is not done until the first call is recorded.","Onboarding is not done until the first call is recorded. We want the call routed, recorded, reviewed, and tied back to a real dispatch decision. That is how ThermaForge keeps Frontline call coverage connected to HVAC operating reality.","ROUTED. RECORDED. REVIEWED.","Checklist animation, call waveform, Frontline routing number, review note.","Explainer: calm, clear, confident.",2026-05-08_vid-003_first-call-recorded_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-004,TikTok/Reels/Shorts,owner-capacity,25,"If every exception runs through the owner, the company has a ceiling.","If every exception runs through the owner, the company has a ceiling. No-heat calls, warranty questions, VIP customers, schedule pressure, and after-hours rules need a system around them. ThermaForge helps build that operating rhythm before the owner becomes the bottleneck.","OWNER BOTTLENECK = COMPANY CEILING","Owner at desk, arrows pointing inward, second frame rules board.","Operator/founder: direct, owner-to-owner.",2026-05-08_vid-004_owner-capacity_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-005,TikTok/Reels/Shorts,frontline-routing,25,"Frontline answers. ThermaForge reviews what happened next.","Frontline answers. ThermaForge reviews what happened next. Call coverage only matters if someone studies the recording, the transcript, the alert, and the dispatch outcome. Answered calls are step one. Operating review is where the money gets protected.","ANSWERED IS STEP ONE","Layered graphic: Frontline call, ThermaForge review, dispatch outcome.","Explainer: steady, slightly urgent.",2026-05-08_vid-005_frontline-routing_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-006,TikTok/Reels/Shorts,recap-readiness,25,"A buyer can see operational drag fast.","A buyer can see operational drag fast. Callback patterns, AR over 60, loose dispatch, and owner-dependent decisions all show up when diligence gets serious. ThermaForge helps HVAC owners clean the operating story before recap or succession pressure arrives.","BUYERS SEE DRAG FAST","Diligence checklist, P&L page, callback row, copper underline.","Operator/founder: serious and measured.",2026-05-08_vid-006_recap-readiness_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-007,TikTok/Reels/Shorts,callbacks,25,"Callbacks are not just a service issue.","Callbacks are not just a service issue. They hit truck time, technician morale, customer trust, schedule capacity, and gross margin. If you are scaling an HVAC shop, callbacks need to be reviewed like a financial leak, not just a field problem.","CALLBACKS COST MORE THAN TIME","Truck roll, technician tablet, stacked cost blocks, margin tag.","Operator/founder: plainspoken and specific.",2026-05-08_vid-007_callbacks_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-008,TikTok/Reels/Shorts,technician-utilization,25,"Technician utilization starts before the truck rolls.","Technician utilization starts before the truck rolls. If the call is poorly captured, poorly routed, or poorly booked, the field feels it later. ThermaForge studies the call-to-dispatch handoff because that is where good tech time gets protected.","UTILIZATION STARTS AT THE CALL","Phone intake, dispatch map, technician truck, copper route line.","Explainer: crisp and operational.",2026-05-08_vid-008_technician-utilization_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-009,TikTok/Reels/Shorts,emergency-rules,25,"Emergency rules should not live in one person’s head.","Emergency rules should not live in one person’s head. No-heat, no-cool, warranty, VIP, and after-hours escalation rules need to be clear before the phone rings. ThermaForge documents the rules so Frontline can route calls cleanly.","DOCUMENT THE EMERGENCY RULES","Rule board cards, no-heat/no-cool labels, routing arrow to Frontline.","Explainer: clear and instructional.",2026-05-08_vid-009_emergency-rules_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-010,TikTok/Reels/Shorts,weekly-review,25,"A weekly operating review beats a quarterly surprise.","A weekly operating review beats a quarterly surprise. Calls, booked jobs, callbacks, open escalations, and cash pressure should be reviewed while there is still time to act. ThermaForge brings that rhythm to HVAC owners who are scaling toward the next chapter.","WEEKLY REVIEW > QUARTERLY SURPRISE","Weekly board, five columns, copper check marks, owner review table.","Operator/founder: calm but firm.",2026-05-08_vid-010_weekly-review_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-011,TikTok/Reels/Shorts,search-intent,25,"Traffic means nothing if the call dies.","Traffic means nothing if the call dies. Ranking, ads, referrals, and reviews only matter if the demand turns into a booked opportunity. ThermaForge connects search demand to call routing, dispatch review, and booked work.","TRAFFIC IS NOT THE WIN","Search result, phone call, dispatch board, booked-job stamp.","Ad voice: clear and slightly urgent.",2026-05-08_vid-011_search-intent_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-012,TikTok/Reels/Shorts,succession,25,"Succession requires systems, not wishes.","Succession requires systems, not wishes. If the company only works because the founder catches every problem, it is hard to hand off. ThermaForge helps build the operating muscle around the owner before the next chapter starts.","SUCCESSION NEEDS SYSTEMS","Founder silhouette, playbook pages, team huddle, copper TF stamp.","Operator/founder: steady and mature.",2026-05-08_vid-012_succession_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-013,TikTok/Reels/Shorts,busy-season,25,"Busy season should not be your first audit.","Busy season should not be your first operating audit. Heat exposes weak routing, loose dispatch, unclear emergency rules, and callback patterns fast. ThermaForge helps HVAC owners find those leaks before volume makes them expensive.","DO NOT WAIT FOR BUSY SEASON","Rooftop unit in heat haze, call volume chart, copper warning line.","Ad voice: urgent but not hype.",2026-05-08_vid-013_busy-season_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-014,TikTok/Reels/Shorts,missed-calls,20,"Voicemail is not a dispatch strategy.","Voicemail is not a dispatch strategy. If the homeowner has an emergency, silence sends them somewhere else. ThermaForge helps route, record, and review the calls that should have become booked work.","VOICEMAIL IS NOT DISPATCH","Phone ringing into voicemail, competitor truck blur, booked call stamp.","Ad voice: short and direct.",2026-05-08_vid-014_missed-calls_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-015,TikTok/Reels/Shorts,dispatch-leak,20,"Bad dispatch does not look expensive at first.","Bad dispatch does not look expensive at first. It looks like a small miss, a vague note, a wrong slot, or a callback later. ThermaForge watches the handoff before the cost shows up on the P&L.","SMALL DISPATCH MISS. BIG COST.","Close-up of vague dispatch note, schedule slot, callback alert.","Operator/founder: practical.",2026-05-08_vid-015_dispatch-leak_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-016,TikTok/Reels/Shorts,frontline-routing,20,"Call coverage needs operating review.","Call coverage needs operating review. The answer is only useful if the recording, transcript, alert, and booking outcome get checked. That is why ThermaForge wraps Frontline with HVAC domain discipline.","COVERAGE + REVIEW","Call waveform, transcript snippet, booking confirmation, TF mark.","Explainer: concise and confident.",2026-05-08_vid-016_frontline-routing_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-017,TikTok/Reels/Shorts,owner-capacity,20,"The owner should not be the escalation plan.","The owner should not be the escalation plan. The business needs clear rules, trained handoffs, and review rhythm. ThermaForge helps HVAC shops reduce owner dependency before growth makes it painful.","OWNER ≠ ESCALATION PLAN","Owner phone buzzing, rules board, team handoff.","Operator/founder: firm.",2026-05-08_vid-017_owner-capacity_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-018,TikTok/Reels/Shorts,callbacks,20,"Every callback steals a slot from tomorrow.","Every callback steals a slot from tomorrow. It takes tech time, schedule capacity, and customer confidence. ThermaForge helps owners track the pattern before callbacks become normal.","CALLBACKS STEAL TOMORROW","Calendar slot disappearing, truck roll, customer rating icon.","Ad voice: direct.",2026-05-08_vid-018_callbacks_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-019,TikTok/Reels/Shorts,emergency-rules,20,"No-heat calls need rules before the phone rings.","No-heat calls need rules before the phone rings. Who gets escalated, what gets booked, what is warranty, and what is VIP? ThermaForge documents that before Frontline starts routing live calls.","NO-HEAT RULES FIRST","No-heat card, escalation arrow, dispatch contact, Frontline number.","Explainer: clear and operational.",2026-05-08_vid-019_emergency-rules_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-020,TikTok/Reels/Shorts,recap-readiness,20,"Diligence notices owner dependency.","Diligence notices owner dependency. If every answer, exception, and fix still runs through one person, the risk is obvious. ThermaForge helps clean the operating story before the next chapter.","DILIGENCE SEES DEPENDENCY","Diligence checklist, owner bottleneck diagram, copper risk label.","Operator/founder: serious.",2026-05-08_vid-020_recap-readiness_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-021,TikTok/Reels/Shorts,weekly-review,20,"Review the call before you review the month.","Review the call before you review the month. The recording tells you what the customer needed. Dispatch tells you what the company did with it. ThermaForge connects both before the P&L surprises you.","REVIEW THE CALL FIRST","Call recording waveform, dispatch action, P&L page fading in.","Explainer: measured.",2026-05-08_vid-021_weekly-review_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-022,TikTok/Reels/Shorts,technician-utilization,20,"A bad intake wastes good technician time.","A bad intake wastes good technician time. Wrong details, weak urgency, unclear equipment notes, and bad scheduling all hit the field later. ThermaForge tightens the call-to-tech handoff.","PROTECT TECH TIME","Intake form, equipment note, tech tablet, dispatch route.","Operator/founder: specific.",2026-05-08_vid-022_technician-utilization_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-023,TikTok/Reels/Shorts,search-intent,20,"The lead is not real until it is booked.","The lead is not real until it is booked. Clicks and calls are only the front edge. ThermaForge follows the demand into routing, dispatch, and calendar outcome.","NOT REAL UNTIL BOOKED","Ad click, phone call, booked calendar slot, copper stamp.","Ad voice: crisp.",2026-05-08_vid-023_search-intent_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-024,TikTok/Reels/Shorts,succession,20,"You cannot hand off chaos cleanly.","You cannot hand off chaos cleanly. Succession needs rules, review rhythm, call coverage, dispatch discipline, and a company that can operate without the founder catching every miss.","YOU CAN'T HAND OFF CHAOS","Messy board to clean operating board transition, founder walking away.","Operator/founder: mature and blunt.",2026-05-08_vid-024_succession_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-025,TikTok/Reels/Shorts,first-call-recorded,20,"The first call is the first proof.","The first call is the first proof. Was it answered? Was it recorded? Was the alert sent? Was the dispatch decision right? ThermaForge uses that first proof to tighten the next call.","FIRST CALL = FIRST PROOF","Four-question checklist, waveform, alert notification, dispatch note.","Explainer: confident and concise.",2026-05-08_vid-025_first-call-recorded_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
